question_id,question_bank_id,expert_difficulty,expert_score_band,section,parent_topic,child_topic,question_text,correct_answer,option_a,option_b,option_c,option_d
12631,af76771f,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Sue is the nickname of a dinosaur fossil specimen housed at the Field Museum of Natural History. The Field Museum of Natural History is located in Chicago, Illinois. Sue is a member of the genus Tyrannosaurus. Big Mike is the nickname of a dinosaur fossil specimen housed at the Museum of the Rockies. The Museum of the Rockies is located in Bozeman, Montana. Big Mike is a member of the genus Tyrannosaurus. The student wants to emphasize a similarity between the two specimens. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"The Field Museum of Natural History, where Sue is housed, is located in Chicago, Illinois.","Big Mike is the nickname of a Tyrannosaurus fossil specimen housed at the Museum of the Rockies in Bozeman, Montana.",The dinosaur fossil specimens Sue and Big Mike are both members of the genus Tyrannosaurus.,"While Sue is housed at the Field Museum of Natural History, Big Mike is housed at the Museum of the Rockies."
1377,45a109a3,Easy,3,Reading & Writing,Craft and Structure,Words in Context,"The following text is from Bram Stoker’s 1897 novel Dracula . The narrator is being driven in a carriage through a remote region at night. The baying of the wolves sounded nearer and nearer, as though they were closing round on us from every side. I grew dreadfully afraid, and the horses shared my fear. The driver, however, was not in the least disturbed ; he kept turning his head to left and right, but I could not see anything through the darkness. As used in the text, what does the word “disturbed” most nearly mean?",,Disorganized,Alarmed,Offended,Interrupted
12634,064c8999,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: The Haber-Bosch process is an industrial process used to manufacture ammonia (NH 3 ). It was invented by chemists Fritz Haber and Carl Bosch in 1910. The process’s primary reaction combines nitrogen (N 2 ) from the air with hydrogen (H 2 ). It requires an iron catalyst and high temperatures and pressures. Most of the ammonia produced by this process is used in fertilizers. The student wants to provide an overview of the Haber-Bosch process. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"The Haber-Bosch process needs nitrogen, hydrogen, and an iron catalyst.",The Haber-Bosch process uses an iron catalyst along with high temperatures and pressures to manufacture ammonia from nitrogen and hydrogen.,Chemists Fritz Haber and Carl Bosch invented an industrial process to manufacture ammonia to be used in fertilizers.,"In 1910, chemists Fritz Haber and Carl Bosch invented the Haber-Bosch process, which requires high temperatures and pressures."
1379,c966ad55,Easy,1,Reading & Writing,Craft and Structure,Text Structure and Purpose,The following text is from Srimati Svarna Kumari Devi’s 1894 novel The Fatal Garland (translated by A. Christina Albers in 1910). Shakti is walking near a riverbank that she visited frequently during her childhood. She crossed the woods she knew so well. The trees seemed to extend their branches like welcoming arms. They greeted her as an old friend. Soon she reached the river-side. Which choice best describes the function of the underlined portion in the text as a whole?,,It suggests that Shakti feels uncomfortable near the river.,It indicates that Shakti has lost her sense of direction in the woods.,It emphasizes Shakti’s sense of belonging in the landscape.,It conveys Shakti’s appreciation for her long-term friendships.
1088,3543e6e2,Easy,3,Reading & Writing,Information and Ideas,Central Ideas and Details,"The following text is from Jane Austen’s 1811 novel Sense and Sensibility . Elinor lives with her younger sisters and her mother, Mrs. Dashwood. Elinor, this eldest daughter, whose advice was so effectual, possessed a strength of understanding, and coolness of judgment, which qualified her, though only nineteen, to be the counsellor of her mother, and enabled her frequently to counteract, to the advantage of them all, that eagerness of mind in Mrs. Dashwood which must generally have led to imprudence. She had an excellent heart;—her disposition was affectionate, and her feelings were strong; but she knew how to govern them: it was a knowledge which her mother had yet to learn; and which one of her sisters had resolved never to be taught. According to the text, what is true about Elinor?",,Elinor often argues with her mother but fails to change her mind.,Elinor can be overly sensitive with regard to family matters.,Elinor thinks her mother is a bad role model.,Elinor is remarkably mature for her age.
12636,eb89dcc8,Easy,3,Reading & Writing,Craft and Structure,Cross-Text Connections,"Text 1 Imagine you and your friend are trying to decide where to eat lunch. When people try to make joint decisions like this, they often don’t reveal their true preferences. Instead, they say they would be happy with all options because they think this response will help them appear more easygoing and likable to the other person. Text 2 Research shows that people who don’t state their preferences when making a decision with others aren’t more likable in the eyes of others. In fact, stating that you have no preference actually makes the decision more difficult for other people. It can also cause them to feel less happy with their ultimate decision and with you. Based on the texts, what response would the author of Text 2 most likely suggest for someone in the situation described in the underlined sentence in Text 1?",,Cancel the plan to have lunch together.,Ask where the friend typically likes to eat.,State a preference about where to eat.,Change the subject to talk about something else.
1089,75e07a4d,Easy,2,Reading & Writing,Information and Ideas,Command of Evidence,"Sample of Food Items from Gemini Mission Menus Food item Day Meal Sugar cookie cubes 1 B Chicken and vegetables 2 B Shrimp cocktail 4 C Hot cocoa 3 A To make sure they got the nutrition they needed while in space, the astronauts of NASA’s Gemini missions were given menus for three meals a day (meals A, B, and C) on a four-day rotating schedule. Looking at the sample of food items from these menus, a student notes that on day 1, the menu included ______ blank Which choice most effectively uses data from the table to complete the statement?",,shrimp cocktail for meal B.,hot cocoa for meal C.,sugar cookie cubes for meal B.,chicken and vegetables for meal A.
1625,264e7415,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: The Philadelphia and Lancaster Turnpike was a road built between 1792 and 1794. It was the first private turnpike in the United States. It connected the cities of Philadelphia and Lancaster in the state of Pennsylvania. It was sixty-two miles long. The student wants to emphasize the distance covered by the Philadelphia and Lancaster Turnpike. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,The sixty-two-mile-long Philadelphia and Lancaster Turnpike connected the Pennsylvania cities of Philadelphia and Lancaster.,The Philadelphia and Lancaster Turnpike was the first private turnpike in the United States.,"The Philadelphia and Lancaster Turnpike, which connected two Pennsylvania cities, was built between 1792 and 1794.","A historic Pennsylvania road, the Philadelphia and Lancaster Turnpike was completed in 1794."
1383,d4a8f7cb,Easy,1,Reading & Writing,Craft and Structure,Words in Context,"Dance choreographer Jawole Willa Jo Zollar aims to give people the opportunity to be ______ blank her creative process. For example, live performances of her dance HairStories , which debuted in 2001, featured videos of people across the United States talking about their hair and audience members sharing pictures of their interesting hairstyles. Which choice completes the text with the most logical and precise word or phrase?",,nervous about,completed by,delayed by,involved in
11901,95f037ad,Easy,1,Reading & Writing,Craft and Structure,Words in Context,"The works of Chicana artist Ester Hernandez are now ______ blank in museums both in the United States and abroad, but the murals she contributed to as a member of Las Mujeres Muralistas early in her artistic career were displayed in outdoor public spaces across San Francisco. Which choice completes the text with the most logical and precise word or phrase?",,invented,adjusted,featured,recommended
12638,25a197dd,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: The human body requires magnesium for over 300 essential processes. Magnesium is a mineral present in many foods. Peanuts contain 49 milligrams per ounce (mg/oz) of magnesium. Almonds contain 80 mg/oz. Chia seeds contain 150 mg/oz. The student wants to identify which of the three foods has the highest magnesium content. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"At 80 mg/oz, almonds contain more magnesium than peanuts (49 mg/oz).","Chia seeds contain 150 mg/oz of magnesium, which is more than peanuts and almonds.","Magnesium is present in many foods, including peanuts, almonds, and chia seeds.","Peanuts contain 49 mg/oz of magnesium, a mineral the human body requires for over 300 essential processes."
1816,b7363ba2,Easy,3,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","Mathematician and meteorologist Edward Lorenz used the metaphor of the “butterfly effect” to explain how seemingly minor events can have major impacts on future weather. According to Lorenz’s metaphor, the wind from a butterfly flapping ______ blank in Brazil might eventually grow into a storm elsewhere across the globe. Which choice completes the text so that it conforms to the conventions of Standard English?",,its wings,its wings’,it’s wing’s,it’s wings’
11812,cf956802,Easy,2,Reading & Writing,Information and Ideas,Central Ideas and Details,"When fashion designer Lloyd Henri Kiva New opened his store in Scottsdale, Arizona, in 1945, he quickly became known for creating delicately crafted leather goods, like belts and hats. He was perhaps most renowned for his colorful handbags, which he made by hand using a long and painstaking process. As he gained more customers, New began using sewing machines and other tools to help him produce bags more efficiently, though he continued to handcraft the crucial details that made each bag unique. Based on the text, what would have been the most likely consequence if New had not begun using sewing machines?",,"He would have been unable to ensure that each bag included unique, handcrafted details.",He would have struggled to meet the increasing demand for his bags.,He would have had to individually design each bag he produced.,He would not have been able to generate as much interest in his bags.
12641,e386a11d,Easy,2,Reading & Writing,Craft and Structure,Words in Context,"Cat and Plum Blossoms is an important work of Nihonga , or classical Japanese painting. Unlike Kuroda Seiki, who adopted traditional European methods such as painting with oil on canvas, Hishida Shunsō ______ blank traditional Japanese approaches. For instance, Hishida produced Cat and Plum Blossoms by applying color pigments to a silk scroll. Which choice completes the text with the most logical and precise word or phrase?",,distrusted,embraced,released,overlooked
11981,e3bbf2bf,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: In World War I, US soldiers who were members of the Choctaw Nation in Oklahoma participated in the Choctaw Code Talkers program. The Choctaw Code Talkers were trained to relay coded military information in their native language. In World War II, the US Army recruited Navajo ( Diné ) soldiers to transmit coded messages in their native language. These soldiers were known as the Navajo Code Talkers. The student wants to emphasize a similarity between the Choctaw Code Talkers and the Navajo Code Talkers. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,US soldiers who were members of the Choctaw Nation in Oklahoma used their native language to relay coded information.,"In World War II, one group of Navajo ( Diné ) soldiers was known as the Navajo Code Talkers.",Both the Choctaw Code Talkers and the Navajo Code Talkers transmitted coded military messages in the soldiers’ native languages.,"The Choctaw Code Talkers, not the Navajo Code Talkers, served in World War I."
11814,3091f805,Easy,3,Reading & Writing,Information and Ideas,Command of Evidence,"Ochre sea stars live in tidal pools along the shoreline of the Pacific Ocean. At night, they move to higher shore levels in search of prey. But scientists Corey Garza and Carlos Robles noticed that ochre sea stars stayed at lower levels at night after heavy rains. Garza and Robles hypothesized that a layer of fresh water formed by rainfall was a barrier to the sea stars. To test their hypothesis, the scientists did an experiment. They placed some sea stars in a climbable tank of seawater and other sea stars in a similar tank of seawater with a layer of fresh water on top. Then, the scientists watched the sea stars’ behavior at night. Which finding from the experiment, if true, would most directly support Garza and Robles’s hypothesis?",,"None of the sea stars climbed to the tops of the tanks, but sea stars in the tank with only seawater moved around the bottom of the tank more than sea stars in the other tank did.","Sea stars in the tank with only seawater climbed to the top of the tank, but sea stars in the other tank stopped climbing just below the layer of fresh water.","Both groups of sea stars climbed to the tops of the tanks, but sea stars in the tank with only seawater climbed more slowly than sea stars in the other tank did.","Sea stars in the tank with only seawater mostly stayed near the bottom of the tank, but sea stars in the other tank climbed into the layer of fresh water."
12359,a1139ff8,Easy,1,Reading & Writing,Craft and Structure,Words in Context,"In the 1990s, conservationists began planting more than 500,000 native trees in the habitat of the Azores bullfinch to boost the bird’s numbers. This approach was apparently ______ blank : the Azores bullfinch’s population size increased from as few as 100 birds at the end of the 1980s to around 1,300 in 2023. Which choice completes the text with the most logical and precise word or phrase?",,amusing,costly,successful,disastrous
12643,0147b080,Easy,1,Reading & Writing,Information and Ideas,Command of Evidence,"Pyramids in Egypt and the Americas Pyramid Country Height (meters) Age (years before present) The Great Pyramid Mexico 33 2,050 to 2,400 The Pyramid of Djoser Egypt 60 4,600 to 4,700 The Pyramid of Sahure Egypt 47 4,400 to 4,500 El Castillo Belize 40 1,100 to 1,400 A student is writing an essay about four pyramids for a history class and wants to note how long ago each pyramid was built and how tall each pyramid is. Consulting the table, the student finds that el Castillo was built 1,100 to 1,400 years ago and is ______ blank Which choice most effectively uses data from the table to complete the text?",,33 meters tall.,47 meters tall.,40 meters tall.,60 meters tall.
1388,97ab5669,Easy,3,Reading & Writing,Craft and Structure,Words in Context,"Former astronaut Ellen Ochoa says that although she doesn’t have a definite idea of when it might happen, she ______ blank that humans will someday need to be able to live in other environments than those found on Earth. This conjecture informs her interest in future research missions to the moon. Which choice completes the text with the most logical and precise word or phrase?",,demands,speculates,doubts,establishes
12361,a0777403,Easy,1,Reading & Writing,Craft and Structure,Words in Context,"The following text is from Anita Desai’s 2011 novella Translator Translated . While working on her translation of a novel written in Odia (a language of India) into English, the narrator looks out her window at night to clear her mind. I tried to distract myself with these sights of the ordinary world, but in my mind it was the lines I had been translating and the lines that I had been writing that remained in the forefront. I longed for sleep to obliterate them but it eluded me. Perhaps everything would be normal again once I had sent off the manuscript, I thought, and looked forward to completing the work. ©2011 by Anita Desai As used in the text, what does the word “completing” most nearly mean?",,Destroying,Finishing,Advertising,Rejecting
1389,02fd3da7,Easy,2,Reading & Writing,Craft and Structure,Cross-Text Connections,"Text 1 Public policy researcher Anthony Fowler studied the history of elections in Australia, a country that requires citizens to vote. Fowler argues that requiring citizens to vote leads to a significant increase in voters who would otherwise not have the time or motivation to vote. Thus, election results in countries that require citizens to vote better reflect the preferences of the country as a whole. Text 2 Governments in democratic countries function better when more people vote. However, forcing people to vote may have negative consequences. Shane P. Singh and Jason Roy studied what happens when a country requires its citizens to vote. They found that when people feel forced to vote, they tend to spend less time looking for information about their choices when voting. As a result, votes from these voters may not reflect their actual preferences. Based on the texts, how would Singh and Roy (Text 2) most likely respond to the research discussed in Text 1?",,Only countries of a certain population size should implement mandatory voting.,"People who are forced to vote are likely to become politically engaged in other ways, such as volunteering or running for office.",Requiring people to vote does not necessarily lead to election outcomes that better represent the preferences of the country as a whole.,Countries that require voting must also make the process of voting easier for their citizens.
1390,06b96bfc,Easy,2,Reading & Writing,Craft and Structure,Words in Context,"A musician and member of the Quechua of Peru, Renata Flores Rivera was eager to promote the Quechua language in her music, but she was ______ blank speaking it. She met this challenge by asking her grandmother, a native speaker of Quechua, to help her pronounce words in her song lyrics and also by taking classes in the language. Which choice completes the text with the most logical and precise word or phrase?",,prepared for,inexperienced with,skilled in,excited about
1631,e2693197,Easy,2,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Oracles of the Pink Universe was a 2021 exhibition at the Denver Museum of Art in Colorado. It featured eight artworks by South African artist Simphiwe Ndzube. One of these works is a painting titled Assertion of Will . Assertion of Will depicts three standing figures. The figures wear clothing made of fabric pieces stitched to the painting’s canvas. The student wants to describe how fabric is used in Assertion of Will . Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"In Assertion of Will , the figures’ clothing is made of fabric pieces stitched to the painting’s canvas.",The exhibition Oracles of the Pink Universe featured artworks by artist Simphiwe Ndzube.,"Depicting three standing, clothed figures, Assertion of Will is a painting by Simphiwe Ndzube.",Simphiwe Ndzube’s Assertion of Will was one of eight artworks exhibited in Oracles of the Pink Universe at the Denver Museum of Art.
1818,333b2b65,Easy,2,Reading & Writing,Standard English Conventions,Boundaries,"While one requires oxygen and one does ______ blank and anaerobic respiration are both forms of cellular respiration—that is, they are processes by which cells break down glucose to use as energy. Which choice completes the text so that it conforms to the conventions of Standard English?",,not aerobic,not. Aerobic,"not, aerobic",not; aerobic
12649,54227b8e,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: The mountain pygmy possum is a mammal species. Up until 1966, it was believed to be extinct. That year, a live mountain pygmy possum was identified in the wild in Australia. The mountain pygmy possum is considered a Lazarus species. “Lazarus species” is a term for living species of organisms that were once believed to be extinct. The student wants to define the term “Lazarus species” and provide an example of one. Which choice most effectively uses relevant information from the notes to accomplish these goals?",,"The term “Lazarus species” describes a living species of organism, such as the mountain pygmy possum, that was once believed to be extinct.","One example of a Lazarus species is the mountain pygmy possum, a mammal species that was identified in the wild in Australia in 1966.","The mountain pygmy possum, a species of mammal, was identified in the wild in 1966.","Sometimes, a species once believed to be extinct is later found living in the wild."
1099,57485f5e,Easy,3,Reading & Writing,Information and Ideas,Central Ideas and Details,"The following text is adapted from Johanna Spyri’s 1881 novel Heidi (translated by Elisabeth Stork in 1915). Eight-year-old Heidi and her friend’s grandmother are looking at some illustrated books. Heidi had come and was looking with wondering eyes at the splendid pictures in the large books, that Grandmama was showing her. Suddenly she screamed aloud, for there on the picture she saw a peaceful flock grazing on a green pasture. In the middle a shepherd was standing, leaning on his crook. The setting sun was shedding a golden light over everything. With glowing eyes Heidi devoured the scene. Which choice best states the main idea of the text?",,Heidi is upset until she sees a serene image of a pasture in one of Grandmama’s books.,Heidi is delighted and fascinated by an image she sees in one of Grandmama’s books.,Heidi is initially frightened by an image in one of Grandmama’s books but quickly comes to appreciate its beauty.,Heidi is inspecting an image in one of Grandmama’s books because she has never seen a shepherd with his sheep before.
1392,0f040c50,Easy,1,Reading & Writing,Craft and Structure,Words in Context,"The following text is from Yann Martel’s 2001 novel Life of Pi . The narrator’s family owned a zoo when he was a child. It was a huge zoo, spread over numberless acres, big enough to require a train to explore it, though it seemed to get smaller as I grew older, train included. ©2001 by Yann Martel As used in the text, what does the word “spread” most nearly mean?",,Hidden,Discussed,Extended,Coated
1821,148be4da,Easy,2,Reading & Writing,Standard English Conventions,Boundaries,Human-made (synthetic) fibers used in clothes and many other consumer products are more durable than most natural plant ______ blank the manufacture of synthetic fibers requires toxic chemical solvents that can pollute air and water. Which choice completes the text so that it conforms to the conventions of Standard English?,,"fibers,",fibers but,fibers,"fibers, but"
1393,e1d5d5df,Easy,2,Reading & Writing,Craft and Structure,Words in Context,"According to botanists, a viburnum plant experiencing insect damage may develop erineum—a discolored, felty growth—on its leaf blades. A ______ blank viburnum plant, on the other hand, will have leaves with smooth surfaces and uniformly green coloration. Which choice completes the text with the most logical and precise word or phrase?",,struggling,beneficial,simple,healthy
1394,9e501aaf,Easy,3,Reading & Writing,Craft and Structure,Words in Context,"Research conducted by planetary scientist Katarina Miljkovic suggests that the Moon’s surface may not accurately ______ blank early impact events. When the Moon was still forming, its surface was softer, and asteroid or meteoroid impacts would have left less of an impression; thus, evidence of early impacts may no longer be present. Which choice completes the text with the most logical and precise word or phrase?",,reflect,receive,evaluate,mimic
1637,c78620ba,Easy,2,Reading & Writing,Expression of Ideas,Transitions,"In 1968, US Congressman John Conyers introduced a bill to establish a national holiday in honor of Dr. Martin Luther King Jr. The bill didn’t make it to a vote, but Conyers was determined. He teamed up with Shirley Chisholm, the first Black woman to be elected to Congress, and they resubmitted the bill every session for the next fifteen years. ______ blank in 1983, the bill passed. Which choice completes the text with the most logical transition?",,"Instead,","Likewise,","Finally,","Additionally,"
1395,9cdcd902,Easy,2,Reading & Writing,Craft and Structure,Words in Context,"Charles “Teenie” Harris was a photographer for the Pittsburgh Courier from 1936 to 1975. During his career he took over 70,000 photographs documenting everyday life in Pittsburgh’s Black communities. The Carnegie Museum of Art maintains thousands of his photographs, carefully ______ blank them so that audiences can continue to view them well into the future. Which choice completes the text with the most logical and precise word or phrase?",,replacing,inventing,preserving,counting
1638,20733eac,Easy,2,Reading & Writing,Expression of Ideas,Transitions,"It has long been thought that humans first crossed a land bridge into the Americas approximately 13,000 years ago. ______ blank based on radiocarbon dating of samples uncovered in Mexico, a research team recently suggested that humans may have arrived more than 30,000 years ago—much earlier than previously thought. Which choice completes the text with the most logical transition?",,"As a result,","Similarly,","However,","In conclusion,"
12071,83617355,Easy,3,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","Each night in Gijón, Spain, a section of the city’s marina is bathed in a soft green glow. The source of the glow is the Árbol de la Sidra, a large sculpture made up of 3,200 recycled glass bottles. A lamp inside the tree-shaped structure ______ blank the green glass. Which choice completes the text so that it conforms to the conventions of Standard English?",,will be illuminating,illuminates,would illuminate,illuminated
1106,0770b53d,Easy,2,Reading & Writing,Information and Ideas,Command of Evidence,"O Pioneers! is a 1913 novel by Willa Cather. In the novel, Cather portrays Alexandra Bergson as having a deep emotional connection to her natural surroundings: ______ blank Which quotation from O Pioneers! most effectively illustrates the claim?",,"“She had never known before how much the country meant to her. The chirping of the insects down in the long grass had been like the sweetest music. She had felt as if her heart were hiding down there, somewhere, with the quail and the plover and all the little wild things that crooned or buzzed in the sun. Under the long shaggy ridges, she felt the future stirring.”","“Alexandra talked to the men about their crops and to the women about their poultry. She spent a whole day with one young farmer who had been away at school, and who was experimenting with a new kind of clover hay. She learned a great deal.”","“Alexandra drove off alone. The rattle of her wagon was lost in the howling of the wind, but her lantern, held firmly between her feet, made a moving point of light along the highway, going deeper and deeper into the dark country.”","“It was Alexandra who read the papers and followed the markets, and who learned by the mistakes of their neighbors. It was Alexandra who could always tell about what it had cost to fatten each steer, and who could guess the weight of a hog before it went on the scales closer than John Bergson [her father] himself.”"
1639,ca4ff52d,Easy,3,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Muslins are woven cotton fabrics with a variety of uses. Dhaka muslin is a handmade fabric produced in Dhaka, Bangladesh. It has an extremely fine weave and is primarily used to make luxury clothing. Sheeting muslin is a machine-made fabric produced in factories. It has a coarse weave and is primarily used to upholster furniture and create backdrops for theater sets. The student wants to emphasize a difference between the two muslins. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"Dhaka muslin is a handmade fabric with an extremely fine weave, while sheeting muslin is machine made with a coarse weave.",Dhaka muslin and sheeting muslin are two different types of woven cotton fabrics.,"Muslins can be used in a variety of ways, from making luxury clothing to upholstering furniture and creating backdrops for theater sets.","Sheeting muslin is machine made, has a coarse weave, and is used for furniture and theater sets."
1825,7b419faf,Easy,2,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","In 1903, environmentalist John Muir guided President Theodore Roosevelt on a scenic, sprawling trip through California’s Yosemite Valley. Upon returning from the three-day excursion, Roosevelt ______ blank to conserve the nation’s wilderness areas, a vow he upheld for his remaining six years in office. Which choice completes the text so that it conforms to the conventions of Standard English?",,is vowing,vowed,will vow,vows
1826,29c9be28,Easy,2,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","To survive when water is scarce, embryos inside African turquoise killifish eggs ______ blank a dormant state known as diapause. In this state, embryonic development is paused for as long as two years—longer than the life span of an adult killifish. Which choice completes the text so that it conforms to the conventions of Standard English?",,enter,to enter,having entered,entering
11904,eaea6f8f,Easy,3,Reading & Writing,Craft and Structure,Text Structure and Purpose,"Ordinary soap bubbles usually exist for a minute or less before popping due to either a rupture forced by gravity-induced drainage or the evaporation of the liquid from which the bubble is composed. But physicist Aymeric Roux and colleagues discovered ways to mitigate these factors, resulting in bubbles that can last for a year or more. For example, glycerol tends to adhere to water molecules, so a bubble with a shell that contains both water and glycerol is able to draw additional water molecules from the surrounding air and thereby compensate for evaporation. Which choice best states the purpose of the underlined portion in the text as a whole?",,It describes the effects of a process devised by researchers that increases the longevity of an object discussed in the text.,It details the circumstances that prompted the research discussed in the text.,It presents a reason why the phenomenon discussed in the text that the researchers wanted to avoid will inevitably occur.,It mentions a method discussed in the text that researchers intend to test in future experiments.
1081,87aa7bab,Medium,4,Reading & Writing,Information and Ideas,Central Ideas and Details,"A common assumption among art historians is that the invention of photography in the mid-nineteenth century displaced the painted portrait in the public consciousness. The diminishing popularity of the portrait miniature, which coincided with the rise of photography, seems to support this claim. However, photography’s impact on the portrait miniature may be overstated. Although records from art exhibitions in the Netherlands from 1820 to 1892 show a decrease in the number of both full-sized and miniature portraits submitted, this trend was established before the invention of photography. Based on the text, what can be concluded about the diminishing popularity of the portrait miniature in the nineteenth century?",,Factors other than the rise of photography may be more directly responsible for the portrait miniature’s decline.,"Although portrait miniatures became less common than photographs, they were widely regarded as having more artistic merit.",The popularity of the portrait miniature likely persisted for longer than art historians have assumed.,"As demand for portrait miniatures decreased, portrait artists likely shifted their creative focus to photography."
